name,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,type,max_i_ka,endtemp_degree
САСПсш 3х35+1х35+1х35         ,0.85,0.095,24,ol,100,0
САСПсш 3х50+1х25+1х50         ,0.59,0.09,24,ol,100,0
САСПсш 3х50+1х35+1х50         ,0.59,0.09,24,ol,100,0
САСПсш 3х50+1х50              ,0.59,0.09,24,ol,100,0
САСПсш 3х70+1х25+1х70         ,0.42,0.086,24,ol,100,0
САСПсш 3х70+1х25+1х70         ,0.42,0.086,24,ol,100,0
САСПсш 3х70+1х70              ,0.42,0.086,24,ol,100,0
САСПсш 3х95+1х25+1х95         ,0.32,0.753,24,ol,100,0
САСПсш 3х95+1х35+1х95         ,0.32,0.753,24,ol,100,0
САСПсш 3х95+1х95              ,0.32,0.0753,24,ol,100,0
СБ-120                        ,0.154,0.076,307,ol,100,0
СБ-150                        ,0.124,0.074,336,ol,100,0
СБ-185                        ,0.1,0.073,370,ol,100,0
СБ-240                        ,0.077,0.071,410,ol,100,0
СБ-25                         ,0.74,0.091,200,ol,100,0
СБ-35                         ,0.53,0.087,210,ol,100,0
СБ-50                         ,0.37,0.083,226,ol,100,0
СБ-70                         ,0.265,0.086,254,ol,100,0
СБ-95                         ,0.195,0.078,288,ol,100,0
СБГ-120                       ,0.154,0.076,307,ol,100,0
СБГ-150                       ,0.124,0.074,336,ol,100,0
СБГ-185                       ,0.1,0.073,370,ol,100,0
СБГ-240                       ,0.077,0.071,410,ol,100,0
СБГ-25                        ,0.74,0.091,200,ol,100,0
СБГ-35                        ,0.53,0.087,210,ol,100,0
СБГ-50                        ,0.37,0.083,226,ol,100,0
СБГ-70                        ,0.265,0.086,254,ol,100,0
СБГ-95                        ,0.195,0.078,288,ol,100,0
СИП 2х16                      ,1.91,0.0754,24,ol,100,0
СИП 2х25                      ,1.2,0.0717,24,ol,100,0
СИП 3х16+1х35                 ,1.91,0.0865,24,ol,100,0
СИП-2 2х16                    ,1.91,0.0754,24,ol,100,0
СИП-2А 3х25+1х25+1х50         ,1.2,0.081,24,ol,100,0
СИП-2А 3х35+1х50+1х25         ,0.868,0.0791,24,ol,100,0
СИП-2А 3х50+1х25+1х50         ,0.641,0.0794,24,ol,100,0
СИП-2А 3х50+1х50+1х35         ,0.641,0.0794,24,ol,100,0
СИП-2А 3х50+1х70+1х25         ,0.641,0.0799,24,ol,100,0
СИП-5 2х16                    ,1.91,0.0754,24,ol,100,0
ЦААБ-120                      ,0.258,0.08,307,ol,100,0
ЦААБ-150                      ,0.206,0.079,336,ol,100,0
ЦААБ-185                      ,0.167,0.077,370,ol,100,0
ЦААБ-240                      ,0.129,0.075,410,ol,100,0
ЦААБ-25                       ,1.25,0.099,200,ol,100,0
ЦААБ-35                       ,0.894,0.095,210,ol,100,0
ЦААБ-50                       ,0.625,0.09,226,ol,100,0
ЦААБ-70                       ,0.447,0.086,254,ol,100,0
ЦААБ-95                       ,0.326,0.083,288,ol,100,0
ЦААБлУ-120                    ,0.258,0.08,307,ol,100,0
ЦААБлУ-150                    ,0.206,0.079,336,ol,100,0
ЦААБлУ-185                    ,0.167,0.077,370,ol,100,0
ЦААБлУ-240                    ,0.129,0.075,410,ol,100,0
ЦААБлУ-25                     ,1.25,0.099,200,ol,100,0
ЦААБлУ-35                     ,0.894,0.095,210,ol,100,0
ЦААБлУ-50                     ,0.625,0.09,226,ol,100,0
ЦААБлУ-70                     ,0.447,0.086,254,ol,100,0
ЦААБлУ-95                     ,0.326,0.083,288,ol,100,0
